tau,d,beta0,beta1,d_verificado,tasa_seleccionada
1.0,0.0,0.5494156210358566,0.0,-6.506919055825759e-18,0.6339999999999991
1.0,0.2,0.5541764344262374,0.20099269221943483,0.20000000000007218,0.6339999999999997
1.0,0.35,0.5647814055567882,0.35511493862673577,0.3499999999999998,0.6339999999999997
1.0,0.5,0.5814584048402558,0.5147904780717617,0.5000000000000714,0.634
1.0,0.8,0.6337588431964079,0.8609684333227492,0.7999999999951852,0.6339999999999999
0.5,0.0,0.549415621035857,0.0,-6.506919055825759e-18,0.6339999999999993
0.5,0.2,0.37306829907927164,0.20102596335305287,0.20000000000008675,0.6340000000000001
0.5,0.35,0.2443513802583067,0.3553677974752675,0.3500000000000027,0.6340000000000002
0.5,0.5,0.11626267367046611,0.5155652102378546,0.5000000000000995,0.6340000000000037
0.5,0.8,-0.14581854968800573,0.8630831944416137,0.7999999999992179,0.6340000000000336
0.9,0.0,0.5494156210358564,0.0,-6.506919055825759e-18,0.6339999999999992
0.9,0.2,0.3954211949104917,0.20102255835354652,0.20000000000008505,0.6340000000000002
0.9,0.35,0.2840608018882685,0.35534765179406325,0.35000000000000375,0.6340000000000002
0.9,0.5,0.17412308224898174,0.5155290695623457,0.5000000000001065,0.634000000000001
0.9,0.8,-0.04839726874048387,0.86324785659019,0.7999999999999917,0.634000000000007
