n,tau,d,M,p95_nulo,potencia,wilson_inf,wilson_sup,auc_mediana,auc_q25,auc_q75,resub_gap_medio
41,0.5,0.0,500,0.6727182539682539,0.05,0.03409350665098192,0.07276865002683111,0.48058069381598795,0.434478021978022,0.5452346041055718,0.17801501879205517
41,0.5,0.2,500,0.6727182539682539,0.092,0.0696823665014548,0.12053932221976234,0.48763736263736257,0.4353049169859515,0.5762160633484164,0.18385215102190558
41,0.5,0.35,500,0.6727182539682539,0.106,0.08195666053446124,0.1360515388678906,0.5020075757575757,0.43951881451881447,0.6018612637362638,0.18519515626531483
41,0.5,0.5,500,0.6727182539682539,0.192,0.15987567270959485,0.22882109230544162,0.5622464503042596,0.4759615384615384,0.6446877664109121,0.16568433428279966
41,0.5,0.8,500,0.6727182539682539,0.388,0.34629528411824795,0.4314126304326744,0.6455535205535206,0.5490364414996768,0.72,0.14312074635650165
41,0.9,0.0,500,0.6766146413972497,0.05,0.03409350665098192,0.07276865002683111,0.4837244954077985,0.43474080267558524,0.5563725490196079,0.18399296048196367
41,0.9,0.2,500,0.6766146413972497,0.058,0.040683464783922846,0.08205669799739573,0.49108115468409586,0.4287008281573499,0.5707180500658761,0.18503967070196561
41,0.9,0.35,500,0.6766146413972497,0.104,0.08019382152134363,0.13384487635513181,0.50684899485741,0.4473974867724867,0.603448275862069,0.1780598050026942
41,0.9,0.5,500,0.6766146413972497,0.184,0.15248894558374934,0.2203298133277816,0.5465686274509804,0.47353896103896104,0.651398888467854,0.1713406006264331
41,0.9,0.8,500,0.6766146413972497,0.354,0.31334158354314207,0.39688480506788165,0.6336956521739131,0.5409640646709613,0.7051746562616128,0.1521609845745728
41,1.0,0.0,500,0.6709907834101382,0.05,0.03409350665098192,0.07276865002683111,0.48585673585673583,0.43503676470588226,0.5597069597069597,0.1833950762501561
41,1.0,0.2,500,0.6709907834101382,0.078,0.057581071819524224,0.10485410622055823,0.4868495475113122,0.43124173280423284,0.570658866995074,0.18396842807248243
41,1.0,0.35,500,0.6709907834101382,0.104,0.08019382152134363,0.13384487635513181,0.5104945054945055,0.4480820105820106,0.5976395730706076,0.17499381143087486
