n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa,lote
41,1.0,0.0,20261011,0.39875000000000005,0.74,1.0,1.0,5,0.6097560975609756,extra
41,1.0,0.0,20261011,0.44505494505494503,0.6895604395604396,1.0,1.0,6,0.6829268292682927,extra
41,1.0,0.0,20261011,0.4948717948717949,0.7128205128205127,0.01,0.0,9,0.6341463414634146,extra
41,1.0,0.0,20261011,0.46625,0.7025,0.01,0.0,9,0.6097560975609756,extra
41,1.0,0.0,20261011,0.496969696969697,0.7393939393939394,0.01,0.0,9,0.7317073170731707,extra
41,1.0,0.0,20261011,0.4461538461538462,0.5,0.01,0.5,0,0.6341463414634146,extra
41,1.0,0.0,20261011,0.4251207729468599,0.7101449275362318,0.1,0.5,1,0.5609756097560976,extra
41,1.0,0.0,20261011,0.7077294685990339,0.9057971014492753,0.1,0.0,9,0.5609756097560976,extra
41,1.0,0.0,20261011,0.5906593406593407,0.8159340659340659,1.0,0.5,7,0.6829268292682927,extra
41,1.0,0.0,20261011,0.4656593406593406,0.6483516483516484,0.01,0.0,9,0.6829268292682927,extra
41,1.0,0.0,20261011,0.375,0.7426470588235294,1.0,0.5,6,0.5853658536585366,extra
41,1.0,0.0,20261011,0.32471264367816094,0.5,0.01,0.5,0,0.7073170731707317,extra
41,1.0,0.0,20261011,0.5621693121693121,0.8174603174603174,1.0,0.0,9,0.6585365853658537,extra
41,1.0,0.0,20261011,0.5290322580645161,0.6612903225806451,0.01,0.0,9,0.7560975609756098,extra
41,1.0,0.0,20261011,0.45749999999999996,0.7875,1.0,1.0,5,0.6097560975609756,extra
41,1.0,0.0,20261011,0.345,0.7375,1.0,1.0,4,0.6097560975609756,extra
41,1.0,0.0,20261011,0.510989010989011,0.7554945054945056,1.0,1.0,4,0.6829268292682927,extra
41,1.0,0.0,20261011,0.5303030303030304,0.7303030303030302,0.1,0.0,9,0.7317073170731707,extra
41,1.0,0.0,20261011,0.4722222222222222,0.7063492063492063,0.01,0.0,9,0.6585365853658537,extra
41,1.0,0.0,20261011,0.3825,0.5,0.01,0.5,0,0.6097560975609756,extra
41,1.0,0.0,20261011,0.373015873015873,0.7883597883597884,1.0,0.5,7,0.6585365853658537,extra
41,1.0,0.0,20261011,0.3780193236714976,0.5,0.01,0.5,0,0.5609756097560976,extra
41,1.0,0.0,20261011,0.4885057471264368,0.632183908045977,0.01,0.0,9,0.7073170731707317,extra
41,1.0,0.0,20261011,0.3804347826086957,0.7439613526570049,1.0,0.5,6,0.5609756097560976,extra
41,1.0,0.0,20261011,0.41425120772946855,0.7898550724637682,1.0,0.0,9,0.5609756097560976,extra
41,1.0,0.0,20261011,0.5032258064516129,0.8709677419354839,1.0,0.0,9,0.7560975609756098,extra
41,1.0,0.0,20261011,0.5166666666666666,0.7857142857142857,1.0,1.0,6,0.5121951219512195,extra
41,1.0,0.0,20261011,0.5317460317460317,0.8492063492063492,1.0,0.0,9,0.6585365853658537,extra
41,1.0,0.0,20261011,0.4240196078431373,0.5,0.01,0.5,0,0.5853658536585366,extra
41,1.0,0.0,20261011,0.4618055555555556,0.7534722222222222,1.0,1.0,2,0.7804878048780488,extra
41,1.0,0.0,20261011,0.4857142857142857,0.8142857142857143,1.0,0.0,9,0.5121951219512195,extra
41,1.0,0.0,20261011,0.5137362637362637,0.7390109890109889,0.1,0.0,9,0.6829268292682927,extra
41,1.0,0.0,20261011,0.44497607655502397,0.5837320574162679,0.01,0.0,9,0.5365853658536586,extra
41,1.0,0.0,20261011,0.4181818181818182,0.5,0.01,0.5,0,0.7317073170731707,extra
41,1.0,0.0,20261011,0.38324175824175827,0.717032967032967,0.1,0.0,9,0.6829268292682927,extra
41,1.0,0.0,20261011,0.4669540229885058,0.7011494252873562,0.01,0.0,9,0.7073170731707317,extra
41,1.0,0.0,20261011,0.4126984126984127,0.7407407407407408,1.0,0.0,9,0.6585365853658537,extra
41,1.0,0.0,20261011,0.5157004830917874,0.8140096618357487,1.0,0.0,9,0.5609756097560976,extra
