n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa
41,1.0,0.0,20260811,0.5079365079365079,0.5,0.01,0.5,0,0.6585365853658537
41,1.0,0.0,20260811,0.39705882352941174,0.6372549019607844,0.01,0.0,9,0.5853658536585366
41,1.0,0.0,20260811,0.5402298850574713,0.8448275862068966,1.0,0.0,9,0.7073170731707317
41,1.0,0.0,20260811,0.3075,0.5,0.01,0.5,0,0.6097560975609756
41,1.0,0.0,20260811,0.2751322751322751,0.6031746031746033,0.01,0.0,9,0.6585365853658537
41,1.0,0.0,20260811,0.28042328042328046,0.5,0.01,0.5,0,0.6585365853658537
41,1.0,0.0,20260811,0.25925925925925924,0.5,0.01,0.5,0,0.6585365853658537
41,1.0,0.0,20260811,0.2666666666666667,0.6333333333333333,0.01,0.0,9,0.6341463414634146
41,1.0,0.0,20260811,0.16774193548387095,0.5,0.01,0.5,0,0.7560975609756098
41,1.0,0.0,20260811,0.3516483516483516,0.5,0.01,0.5,0,0.6829268292682927
41,1.0,0.0,20260811,0.1908212560386473,0.5,0.01,0.5,0,0.5609756097560976
41,1.0,0.0,20260811,0.38405797101449274,0.5,0.01,0.5,0,0.5609756097560976
41,1.0,0.0,20260811,0.46904761904761905,0.819047619047619,0.1,0.0,9,0.5121951219512195
41,1.0,0.0,20260811,0.5598086124401914,0.7344497607655502,0.1,0.0,9,0.5365853658536586
41,1.0,0.0,20260811,0.5514705882352942,0.7254901960784313,0.1,0.5,1,0.5853658536585366
41,1.0,0.0,20260811,0.4,0.5,0.01,0.5,0,0.6341463414634146
41,1.0,0.0,20260811,0.36507936507936506,0.5,0.01,0.5,0,0.6585365853658537
41,1.0,0.0,20260811,0.5,0.5,0.01,0.5,0,0.7073170731707317
41,1.0,0.0,20260811,0.42328042328042326,0.5,0.01,0.5,0,0.6585365853658537
41,1.0,0.0,20260811,0.5,0.7966507177033493,1.0,0.0,9,0.5365853658536586
41,1.0,0.0,20260811,0.46411483253588515,0.7272727272727273,0.01,0.0,9,0.5365853658536586
41,1.0,0.0,20260811,0.4275,0.6950000000000001,0.1,0.0,9,0.6097560975609756
41,1.0,0.0,20260811,0.45343137254901966,0.5,0.01,0.5,0,0.5853658536585366
41,1.0,0.0,20260811,0.3651960784313726,0.5,0.01,0.5,0,0.5853658536585366
41,1.0,0.0,20260811,0.4387254901960784,0.5,0.01,0.5,0,0.5853658536585366
41,1.0,0.0,20260811,0.4175824175824176,0.5,0.01,0.5,0,0.6829268292682927
41,1.0,0.0,20260811,0.558974358974359,0.776923076923077,0.1,0.5,2,0.6341463414634146
41,1.0,0.0,20260811,0.4794871794871795,0.7871794871794872,1.0,1.0,5,0.6341463414634146
41,1.0,0.0,20260811,0.4137931034482759,0.7528735632183908,0.1,0.5,1,0.7073170731707317
41,1.0,0.0,20260811,0.4242424242424242,0.5,0.01,0.5,0,0.7317073170731707
41,1.0,0.0,20260811,0.537037037037037,0.7195767195767195,0.01,0.0,9,0.6585365853658537
41,1.0,0.0,20260811,0.5086206896551725,0.8218390804597702,1.0,0.0,9,0.7073170731707317
41,1.0,0.0,20260811,0.6238095238095238,0.85,1.0,0.0,9,0.5121951219512195
41,1.0,0.0,20260811,0.42000000000000004,0.725,0.01,0.0,9,0.6097560975609756
41,1.0,0.0,20260811,0.21323529411764705,0.5,0.01,0.5,0,0.5853658536585366
41,1.0,0.0,20260811,0.5027472527472527,0.8708791208791209,1.0,0.5,6,0.6829268292682927
41,1.0,0.0,20260811,0.4371980676328503,0.6666666666666666,0.01,0.0,9,0.5609756097560976
41,1.0,0.0,20260811,0.3708791208791209,0.6483516483516484,0.01,0.0,9,0.6829268292682927
41,1.0,0.0,20260811,0.29743589743589743,0.5,0.01,0.5,0,0.6341463414634146
41,1.0,0.0,20260811,0.15999999999999998,0.5,0.01,0.5,0,0.6097560975609756
41,1.0,0.0,20260811,0.5143540669856459,0.6842105263157894,0.01,0.0,9,0.5365853658536586
41,1.0,0.0,20260811,0.1813186813186813,0.6785714285714286,0.01,0.0,9,0.6829268292682927
41,1.0,0.0,20260811,0.2903225806451613,0.7967741935483871,1.0,1.0,5,0.7560975609756098
41,1.0,0.0,20260811,0.28985507246376807,0.6400966183574879,0.01,0.0,9,0.5609756097560976
41,1.0,0.0,20260811,0.5564102564102564,0.8666666666666667,1.0,0.5,7,0.6341463414634146
41,1.0,0.0,20260811,0.7125603864734299,0.823671497584541,0.01,0.0,9,0.5609756097560976
41,1.0,0.0,20260811,0.22058823529411764,0.6102941176470588,0.01,0.0,9,0.5853658536585366
41,1.0,0.0,20260811,0.31868131868131866,0.6758241758241759,1.0,1.0,5,0.6829268292682927
41,1.0,0.0,20260811,0.45641025641025645,0.7769230769230769,1.0,0.5,6,0.6341463414634146
41,1.0,0.0,20260811,0.59,0.765,0.01,0.0,9,0.6097560975609756
41,1.0,0.0,20260811,0.3051282051282051,0.5,0.01,0.5,0,0.6341463414634146
41,1.0,0.0,20260811,0.5603448275862069,0.7557471264367817,0.01,0.0,9,0.7073170731707317
41,1.0,0.0,20260811,0.6264367816091954,0.8649425287356322,1.0,0.5,8,0.7073170731707317
41,1.0,0.0,20260811,0.27248677248677244,0.6243386243386244,0.01,0.0,9,0.6585365853658537
41,1.0,0.0,20260811,0.1770334928229665,0.5,0.01,0.5,0,0.4634146341463415
41,1.0,0.0,20260811,0.4625,0.8075,1.0,1.0,5,0.6097560975609756
41,1.0,0.0,20260811,0.5205128205128206,0.7025641025641026,0.01,0.0,9,0.6341463414634146
