n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa
41,1.0,0.0,20260711,0.5905172413793104,0.8103448275862069,1.0,1.0,5,0.7073170731707317
41,1.0,0.0,20260711,0.5334928229665072,0.7894736842105263,1.0,0.5,7,0.5365853658536586
41,1.0,0.0,20260711,0.3968253968253968,0.701058201058201,0.1,0.0,9,0.6585365853658537
41,1.0,0.0,20260711,0.4964114832535885,0.5,0.01,0.5,0,0.5365853658536586
41,1.0,0.0,20260711,0.3708133971291866,0.5,0.01,0.5,0,0.5365853658536586
41,1.0,0.0,20260711,0.66,0.7175,0.1,0.5,1,0.6097560975609756
41,1.0,0.0,20260711,0.4774305555555556,0.5,0.01,0.5,0,0.7804878048780488
41,1.0,0.0,20260711,0.4865196078431372,0.7524509803921569,1.0,0.0,9,0.5853658536585366
41,1.0,0.0,20260711,0.5641025641025641,0.8307692307692308,1.0,1.0,5,0.6341463414634146
41,1.0,0.0,20260711,0.6307692307692307,0.8333333333333334,1.0,1.0,5,0.6341463414634146
41,1.0,0.0,20260711,0.5909090909090909,0.8863636363636365,1.0,0.0,9,0.8048780487804879
41,1.0,0.0,20260711,0.5193236714975845,0.7681159420289856,1.0,0.0,9,0.5609756097560976
41,1.0,0.0,20260711,0.49999999999999994,0.8095238095238094,1.0,0.0,9,0.6585365853658537
41,1.0,0.0,20260711,0.3214285714285715,0.5,0.01,0.5,0,0.4878048780487805
41,1.0,0.0,20260711,0.5384615384615384,0.8076923076923077,1.0,0.0,9,0.6341463414634146
41,1.0,0.0,20260711,0.3484848484848485,0.6666666666666666,0.01,0.0,9,0.7317073170731707
41,1.0,0.0,20260711,0.515,0.66,0.01,0.0,9,0.6097560975609756
41,1.0,0.0,20260711,0.41000000000000003,0.7150000000000001,1.0,0.0,9,0.6097560975609756
41,1.0,0.0,20260711,0.5026455026455027,0.5,0.01,0.5,0,0.6585365853658537
41,1.0,0.0,20260711,0.4818181818181818,0.5,0.01,0.5,0,0.7317073170731707
41,1.0,0.0,20260711,0.43783068783068785,0.6957671957671957,0.01,0.0,9,0.6585365853658537
41,1.0,0.0,20260711,0.3112745098039216,0.5,0.01,0.5,0,0.5853658536585366
41,1.0,0.0,20260711,0.48999999999999994,0.76,1.0,0.0,9,0.6097560975609756
41,1.0,0.0,20260711,0.5422705314009661,0.6400966183574879,0.01,0.0,9,0.5609756097560976
41,1.0,0.0,20260711,0.488095238095238,0.8238095238095238,1.0,1.0,8,0.5121951219512195
41,1.0,0.0,20260711,0.5634920634920635,0.8253968253968254,1.0,0.5,7,0.6585365853658537
41,1.0,0.0,20260711,0.3775,0.5,0.01,0.5,0,0.6097560975609756
41,1.0,0.0,20260711,0.44545454545454544,0.5,0.01,0.5,0,0.7317073170731707
41,1.0,0.0,20260711,0.5166666666666666,0.5,0.01,0.5,0,0.6341463414634146
41,1.0,0.0,20260711,0.7428571428571429,0.919047619047619,1.0,0.0,9,0.4878048780487805
41,1.0,0.0,20260711,0.48750000000000004,0.6575,0.01,0.0,9,0.6097560975609756
41,1.0,0.0,20260711,0.3079710144927536,0.5,0.01,0.5,0,0.5609756097560976
41,1.0,0.0,20260711,0.4976190476190477,0.5,0.01,0.5,0,0.4878048780487805
41,1.0,0.0,20260711,0.47486772486772477,0.7619047619047619,0.1,0.0,9,0.6585365853658537
