variante,d,beta0,beta1
copula,0.0,0.5494156210358573,0.0
copula,0.35,0.565099931029225,0.3551145905556731
copula,0.8,0.634690092816828,0.860961255785789
especificos,0.0,0.5494156210358564,0.0
especificos,0.35,0.5033595248345158,0.35517869064242136
especificos,0.8,0.48522053060604164,0.8619734935808463
tasa50,0.0,0.0,0.0
tasa50,0.35,-0.2815062389384627,0.35531091757804156
tasa50,0.8,-0.6813374440349826,0.8600232370885684
probit,0.0,0.34246630146539103,0.0
probit,0.35,0.17587732047477117,0.22046712100246957
probit,0.8,-0.030486070963955555,0.5259777480062567
mezcla,0.0,0.5494156210358564,0.0
mezcla,0.35,0.2840608018882685,0.3553476517940632
mezcla,0.8,-0.0483972687404838,0.86324785659019
M1000,0.0,0.5494156210358564,0.0
M1000,0.35,0.2840608018882685,0.3553476517940632
M1000,0.8,-0.0483972687404838,0.86324785659019
