variante,n,d,M,p95_nulo,potencia,wilson_inf,wilson_sup,auc_mediana
M1000,41,0.0,1000,0.6912330316742081,0.05,0.03813007264328189,0.0653141360844696,0.4780731523378582
M1000,41,0.35,1000,0.6912330316742081,0.082,0.06655169717368087,0.10064759004454163,0.5053927553927554
M1000,41,0.8,1000,0.6912330316742081,0.319,0.29085118095956225,0.34853415632871115,0.6410869831922463
copula,41,0.0,500,0.694090909090909,0.05,0.03409350665098192,0.07276865002683111,0.47745967741935486
copula,41,0.35,500,0.694090909090909,0.08,0.05929780247392154,0.1071068770920373,0.5188988095238096
copula,41,0.8,500,0.694090909090909,0.36,0.31914070629947555,0.4029941868891773,0.6547946859903382
copula,80,0.0,500,0.6408505952380951,0.05,0.03409350665098192,0.07276865002683111,0.4859601648351648
copula,80,0.35,500,0.6408505952380951,0.144,0.11593760751948218,0.177491120874521,0.5252413063690344
copula,80,0.8,500,0.6408505952380951,0.72,0.6790805551718125,0.75756461267459,0.6878156565656566
copula,120,0.0,500,0.6073681971339259,0.05,0.03409350665098192,0.07276865002683111,0.48777088184330974
copula,120,0.35,500,0.6073681971339259,0.284,0.24623711212056168,0.32505672308478845,0.5597280013426559
copula,120,0.8,500,0.6073681971339259,0.89,0.8595438141340721,0.9145089834118234,0.6815960648148148
copula,200,0.0,500,0.5849149095542114,0.05,0.03409350665098192,0.07276865002683111,0.4934128385416666
copula,200,0.35,500,0.5849149095542114,0.398,0.35602922648461244,0.44152619569569185,0.5715348301124163
copula,200,0.8,500,0.5849149095542114,0.988,0.9740692922810136,0.9944890800328247,0.6997046356638397
copula,300,0.0,500,0.5690800451897725,0.05,0.03409350665098192,0.07276865002683111,0.4935461151931858
copula,300,0.35,500,0.5690800451897725,0.61,0.566563167828306,0.6517594160948953,0.5790955448494362
copula,300,0.8,500,0.5690800451897725,1.0,0.9923753814690964,0.9999999999999999,0.7053678992964707
copula,500,0.0,500,0.5516778087601102,0.05,0.03409350665098192,0.07276865002683111,0.4918546343603688
copula,500,0.35,500,0.5516778087601102,0.858,0.8246696706783865,0.8858711024534867,0.5828593823956075
copula,500,0.8,500,0.5516778087601102,1.0,0.9923753814690964,0.9999999999999999,0.7066291342423954
especificos,41,0.0,500,0.6692159277504103,0.05,0.03409350665098192,0.07276865002683111,0.46885698723934016
especificos,41,0.35,500,0.6692159277504103,0.098,0.07492354740061163,0.1272066458982347,0.4882499079867501
especificos,41,0.8,500,0.6692159277504103,0.174,0.14328895399220098,0.20968229728994797,0.5423659673659673
especificos,80,0.0,500,0.6070167706229567,0.05,0.03409350665098192,0.07276865002683111,0.4843527421652422
especificos,80,0.35,500,0.6070167706229567,0.138,0.11051755348949738,0.17100267032687666,0.5021211427461427
especificos,80,0.8,500,0.6070167706229567,0.33,0.2902171971743252,0.372375173126182,0.5676221001221001
especificos,120,0.0,500,0.6064935468884596,0.05,0.03409350665098192,0.07276865002683111,0.4939427273845879
especificos,120,0.35,500,0.6064935468884596,0.096,0.07317313790557156,0.12498755386739835,0.5020594725100831
especificos,120,0.8,500,0.6064935468884596,0.462,0.41875551183784954,0.5058239591704992,0.5996668060621548
especificos,200,0.0,500,0.5847969500550494,0.05,0.03409350665098192,0.07276865002683111,0.49103463200008124
especificos,200,0.35,500,0.5847969500550494,0.164,0.13412841862886243,0.19899532502390466,0.5188671874999999
especificos,200,0.8,500,0.5847969500550494,0.662,0.6194419387868491,0.7020876848091384,0.6080827266251327
especificos,300,0.0,500,0.571427777477415,0.05,0.03409350665098192,0.07276865002683111,0.49354984420558196
especificos,300,0.35,500,0.571427777477415,0.208,0.17471574281917435,0.2457370344028732,0.5284628535092931
especificos,300,0.8,500,0.571427777477415,0.878,0.8463946427702861,0.9038411456203509,0.6270098770864703
especificos,500,0.0,500,0.5532003859169132,0.05,0.03409350665098192,0.07276865002683111,0.4948789122649067
especificos,500,0.35,500,0.5532003859169132,0.37,0.328821530528825,0.4131608702892099,0.541095195876105
especificos,500,0.8,500,0.5532003859169132,0.994,0.9825094361891064,0.9979574407023611,0.637363541145945
mezcla,41,0.0,500,0.6743919169447532,0.05,0.03409350665098192,0.07276865002683111,0.48473193473193477
mezcla,41,0.35,500,0.6743919169447532,0.104,0.08019382152134363,0.13384487635513181,0.5032967032967033
mezcla,41,0.8,500,0.6743919169447532,0.342,0.3017647943001571,0.3846445851556084,0.6231326644370123
mezcla,80,0.0,500,0.6326940629501276,0.05,0.03409350665098192,0.07276865002683111,0.4844461886031448
mezcla,80,0.35,500,0.6326940629501276,0.146,0.11774829657860897,0.1796499333412706,0.5322753815485004
mezcla,80,0.8,500,0.6326940629501276,0.606,0.5625170013722456,0.6478665794992029,0.6554423771733386
mezcla,120,0.0,500,0.5979534087568483,0.05,0.03409350665098192,0.07276865002683111,0.487597229709207
mezcla,120,0.35,500,0.5979534087568483,0.236,0.20088068978132578,0.27514510880299115,0.5418507142915299
mezcla,120,0.8,500,0.5979534087568483,0.858,0.8246696706783865,0.8858711024534867,0.6718632022047719
mezcla,200,0.0,500,0.5814142347446778,0.05,0.03409350665098192,0.07276865002683111,0.48406532713215855
mezcla,200,0.35,500,0.5814142347446778,0.352,0.31141012174922117,0.39484676533592616,0.5604769032729657
mezcla,200,0.8,500,0.5814142347446778,0.98,0.9635794314459021,0.9891009347644306,0.67832
mezcla,300,0.0,500,0.5636218743238749,0.05,0.03409350665098192,0.07276865002683111,0.48705965741908364
mezcla,300,0.35,500,0.5636218743238749,0.578,0.534276169564903,0.6205343899442761,0.5726177526177527
mezcla,300,0.8,500,0.5636218743238749,1.0,0.9923753814690964,0.9999999999999999,0.6871308612440191
mezcla,500,0.0,500,0.5509514365771127,0.05,0.03409350665098192,0.07276865002683111,0.4932066893321092
mezcla,500,0.35,500,0.5509514365771127,0.786,0.7479411410548613,0.819697577145462,0.5799537620849096
mezcla,500,0.8,500,0.5509514365771127,1.0,0.9923753814690964,0.9999999999999999,0.6910288417241046
probit,41,0.0,500,0.6620098039215685,0.05,0.03409350665098192,0.07276865002683111,0.48
probit,41,0.35,500,0.6620098039215685,0.112,0.0872623972834597,0.14265430669652132,0.5
probit,41,0.8,500,0.6620098039215685,0.436,0.393184831180568,0.47979111999138757,0.6426846100759145
probit,80,0.0,500,0.6342493819400796,0.05,0.03409350665098192,0.07276865002683111,0.48909505208333326
probit,80,0.35,500,0.6342493819400796,0.15,0.12137548023138253,0.1839617527402498,0.5366048593350383
