n,tau,M,auc_nulo_media,p95_nulo,det_mismocelda,w_mc,k_mc,det_splithalf,w_sh,k_sh,det_frescas,w_fr,k_fr
41,0.5,500,0.49545655191549576,0.6727182539682539,0.05,"[0.034,0.073]",25,0.06,"[0.037,0.097]",15,,,
41,0.9,500,0.4990047113749559,0.6766146413972497,0.05,"[0.034,0.073]",25,0.068,"[0.043,0.106]",17,,,
41,1.0,500,0.4972721276803976,0.6709907834101382,0.05,"[0.034,0.073]",25,0.124,"[0.089,0.171]",31,0.062,"[0.044,0.087]",31.0
60,0.5,500,0.4888230315739817,0.6446655805351457,0.05,"[0.034,0.073]",25,0.044,"[0.025,0.077]",11,,,
60,0.9,500,0.4948999196207551,0.6598917682926829,0.05,"[0.034,0.073]",25,0.08,"[0.052,0.120]",20,,,
60,1.0,500,0.4917032991872332,0.6412716978264172,0.05,"[0.034,0.073]",25,0.052,"[0.031,0.087]",13,,,
80,0.5,500,0.4918432231703484,0.6330944219066936,0.05,"[0.034,0.073]",25,0.048,"[0.028,0.082]",12,,,
80,0.9,500,0.4969235631787608,0.6379166311330945,0.05,"[0.034,0.073]",25,0.064,"[0.040,0.101]",16,,,
80,1.0,500,0.49396583710323727,0.6299355096336227,0.05,"[0.034,0.073]",25,0.048,"[0.028,0.082]",12,,,
120,0.5,500,0.49927361088242483,0.6093052291421857,0.05,"[0.034,0.073]",25,0.044,"[0.025,0.077]",11,,,
120,0.9,500,0.4934151084397589,0.6067966016388803,0.05,"[0.034,0.073]",25,0.036,"[0.019,0.067]",9,,,
120,1.0,500,0.4982638040946399,0.6063445763719411,0.05,"[0.034,0.073]",25,0.1,"[0.069,0.143]",25,0.056,"[0.039,0.080]",28.0
160,0.5,500,0.4942184125153653,0.5944319377617386,0.05,"[0.034,0.073]",25,0.06,"[0.037,0.097]",15,,,
160,0.9,500,0.49885774296298047,0.5974724050592327,0.05,"[0.034,0.073]",25,0.092,"[0.062,0.134]",23,,,
160,1.0,500,0.49118461030109445,0.5942462841896734,0.05,"[0.034,0.073]",25,0.06,"[0.037,0.097]",15,,,
200,0.5,500,0.49955516403537925,0.5910205295887261,0.05,"[0.034,0.073]",25,0.044,"[0.025,0.077]",11,,,
200,0.9,500,0.4935137438485873,0.5838740486714091,0.05,"[0.034,0.073]",25,0.068,"[0.043,0.106]",17,,,
200,1.0,500,0.4905404679668787,0.581251553324724,0.05,"[0.034,0.073]",25,0.032,"[0.016,0.062]",8,,,
300,0.5,500,0.49256063990085347,0.5625809426904266,0.05,"[0.034,0.073]",25,0.052,"[0.031,0.087]",13,,,
300,0.9,500,0.49500818598254204,0.5637589741981637,0.05,"[0.034,0.073]",25,0.04,"[0.022,0.072]",10,,,
300,1.0,500,0.49526913742770795,0.5735000436071864,0.05,"[0.034,0.073]",25,0.04,"[0.022,0.072]",10,,,
500,0.5,500,0.49703504388963005,0.550341295897826,0.05,"[0.034,0.073]",25,0.036,"[0.019,0.067]",9,,,
500,0.9,500,0.49576352029552073,0.5549449863896105,0.05,"[0.034,0.073]",25,0.016,"[0.006,0.040]",4,,,
500,1.0,500,0.49618208996415364,0.5499804168706476,0.05,"[0.034,0.073]",25,0.028,"[0.014,0.057]",7,,,
